Action,Step,Balance,Positive,Negative,Reward
2,2,107.20519995278542,4,3,0.42274898954713547
3,3,97.199279979799,7,3,0.06354424274661064
5,4,72.70582014503115,10,4,0.14079082198834236
1,5,91.94749501613364,10,4,0.10086864974009524
5,6,63.617758305783454,16,6,0.30758101407365257
4,7,47.545699879086385,18,8,0.1809634282515219
0,8,47.545699879086385,19,10,0.1819044160774994
0,9,47.545699879086385,20,12,0.17703950880426722
0,10,47.545699879086385,21,14,0.14474068017462205
3,11,36.18712807306217,24,15,0.021473207501651603
4,12,17.571175077520362,26,18,0.14076142143506276
1,13,31.95636519837999,27,18,0.21615529176177206
4,14,31.95636519837999,28,20,0.03643797573401397
4,15,31.95636519837999,29,22,0.034860012367348814
5,16,31.95636519837999,30,24,0.09919909638457347
4,17,31.95636519837999,31,26,-0.13512928888268566
0,18,31.95636519837999,32,28,0.015546846760417732
1,19,43.06771274409958,32,30,0.09328185530980504
1,20,55.19730515898313,33,30,0.06290424468135769
0,21,55.19730515898313,34,32,-0.05061868910400069
5,22,19.74223830087307,38,33,-0.021635580069559568
5,23,19.74223830087307,39,35,0.033561142118789244
2,24,19.74223830087307,40,37,0.06404409462569927
2,25,19.74223830087307,41,39,0.014096562804511659
4,26,19.74223830087307,42,41,-0.07210163083277077
3,27,19.74223830087307,43,43,-0.015255616248899484
4,28,19.74223830087307,44,45,-0.02972980330577696
1,29,28.249184897788066,45,47,-0.08940785899625064
2,30,23.78960080629487,45,49,-0.03339625209243058
0,31,23.78960080629487,46,51,-0.09247442208344447
0,32,23.78960080629487,47,53,0.0677674016070825
0,33,23.78960080629487,48,55,0.014661231304231803
2,34,15.943960542807941,49,55,-0.03806035052177853
2,35,15.943960542807941,50,57,-0.04684255449480562
0,36,15.943960542807941,51,59,0.026764687919987984
0,37,15.943960542807941,52,61,-0.02372117904648746
3,38,15.943960542807941,53,63,0.017377247550453112
3,39,15.943960542807941,54,65,-0.03591207408556968
0,40,15.943960542807941,55,67,-0.09530164945493336
2,41,15.943960542807941,56,69,-0.11287628672150102
5,42,15.943960542807941,57,71,-0.08187313886709963
5,43,15.943960542807941,58,73,-0.028887343739285143
3,44,15.943960542807941,59,75,-0.046467100578423404
0,45,15.943960542807941,60,77,-0.11181003412571855
4,46,15.943960542807941,61,79,-0.03253251806007851
2,47,15.943960542807941,62,81,-0.054738695900393985
5,48,15.943960542807941,63,83,-0.08954569714249377
0,49,15.943960542807941,64,85,-0.04610276861909074
5,50,15.943960542807941,65,87,-0.08752963416922444
1,51,23.43313359624436,66,89,-0.013221928137824135
3,2,80.46154301562656,2,2,-0.16962787833916526
0,3,80.46154301562656,3,4,0.17841054963291647
5,4,52.9584527001305,6,6,0.09151772788434387
2,5,47.27232653542406,9,9,-0.09988425377963994
0,6,47.27232653542406,10,11,0.012557216240252855
5,7,47.27232653542406,11,13,-0.021002207796748218
0,8,47.27232653542406,12,15,-0.16700788491175034
2,9,34.884768405556834,12,16,-0.1683398948314092
4,10,34.884768405556834,13,18,-0.06130757679933335
1,11,41.0751995249783,13,18,-0.1672083281884557
2,12,30.394580088128365,15,20,-0.08639801058332097
4,13,30.394580088128365,16,22,-0.2201698188512497
1,14,40.20684986939427,16,22,-0.05338443773027046
1,15,52.29107913432543,16,24,-0.09072255321371286
4,16,31.74453503635064,18,27,-0.11265009867420622
3,17,13.084525044495289,19,28,-0.1243483650718124
2,18,13.084525044495289,20,30,0.04756013526124103
3,19,13.084525044495289,21,32,-0.07893281597959118
0,20,13.084525044495289,22,34,-0.14856171842815874
0,21,13.084525044495289,23,36,-0.06329178534730395
4,22,13.084525044495289,24,38,-0.11901227427984978
3,23,13.084525044495289,25,40,-0.14355543925341002
5,24,13.084525044495289,26,42,-0.06554973970493866
0,25,13.084525044495289,27,44,-0.16688178004933463
2,26,13.084525044495289,28,46,-0.12378762913997282
3,27,13.084525044495289,29,48,-0.08216957369213734
2,28,13.084525044495289,30,50,-0.08706543647702819
3,29,13.084525044495289,31,52,-0.11478407571241628
4,30,13.084525044495289,32,54,-0.2222655826618763
1,31,18.377850513926553,32,55,-0.09070600581607713
0,32,18.377850513926553,33,57,-0.10435728838713604
0,33,18.377850513926553,34,59,-0.10575522277751853
5,34,18.377850513926553,35,61,-0.12656254629114078
5,35,18.377850513926553,36,63,-0.17100363571209615
1,36,24.275220624268943,37,63,-0.058687233574965136
0,37,24.275220624268943,38,65,-0.13441976335453
3,38,24.275220624268943,39,67,-0.12365239008760709
4,39,24.275220624268943,40,69,-0.15389404897381093
1,40,29.26892644067896,41,69,-0.1623090482250497
3,41,11.932151863681007,45,70,-0.0656867055884004
1,42,19.217811400286813,47,70,-0.13169012751673348
3,43,19.217811400286813,48,72,-0.15836421338198037
4,44,19.217811400286813,49,74,-0.13413681663210458
0,45,19.217811400286813,50,76,-0.12429570958453334
4,46,19.217811400286813,51,78,-0.08684892570066227
0,47,19.217811400286813,52,80,-0.07138612061504174
5,48,19.217811400286813,53,82,-0.14515633393428728
1,49,25.147208269921776,54,83,-0.07263296659986612
5,50,25.147208269921776,55,85,-0.07976636364877171
4,51,25.147208269921776,56,87,-0.04069217338453912
4,2,75.32335912599889,5,3,0.4080575563760819
1,3,87.87701220590537,5,4,-0.10226715804829095
2,4,84.57829149846143,7,9,-0.08528723062077381
3,5,73.90438154607048,8,11,0.16856002105717027
3,6,51.59171241963504,10,12,-0.005368729343216194
0,7,51.59171241963504,11,14,-0.0956695873020868
4,8,27.40368539478171,14,16,-0.14990409467371008
4,9,27.40368539478171,15,18,0.0858528740125899
1,10,33.98561226306538,16,19,-0.010936458938966165
4,11,33.98561226306538,17,21,-0.04691617020886946
1,12,40.413834716674664,17,21,-0.1210703450260151
4,13,20.09706681850509,21,21,-0.04093523708465868
3,14,20.09706681850509,22,23,0.028113298620004112
5,15,20.09706681850509,23,25,-0.0940535385058221
1,16,33.220310328771866,23,26,-0.042077617461808714
0,17,33.220310328771866,24,28,-0.08925760914310044
3,18,21.45913780370214,25,29,-0.11736971598729729
0,19,21.45913780370214,26,31,-0.04750370560594064
2,20,16.72821160648536,29,32,-0.0443798422604173
4,21,16.72821160648536,30,34,0.03765142077072092
2,22,16.72821160648536,31,36,0.03556632919569935
1,23,25.465980185377717,32,36,0.022542772864455496
5,24,25.465980185377717,33,38,-0.044758089276216995
4,25,25.465980185377717,34,40,0.045213712046594634
2,26,19.492528267165635,37,42,0.01348292762604364
3,27,19.492528267165635,38,44,-0.08409908246331937
2,28,19.492528267165635,39,46,0.0027014645512351
2,29,19.492528267165635,40,48,-0.03235748665722177
5,30,19.492528267165635,41,50,-0.02381745891354259
4,31,19.492528267165635,42,52,-0.05453500408141976
1,32,27.561729032846493,42,52,-0.08368072288275041
1,33,36.316173492719756,42,52,0.04877804849230383
3,34,23.394479210140986,44,53,-0.008806905193590564
4,35,23.394479210140986,45,55,0.057654951558857026
5,36,23.394479210140986,46,57,-0.02903209619848751
0,37,23.394479210140986,47,59,-0.07760852937402662
1,38,35.37544065357452,48,59,-0.042397102700695855
3,39,19.7075190270275,49,61,-0.029580912345910426
1,40,28.47048043000057,49,61,-0.09062413708055128
3,41,12.262311192464097,52,62,-0.019214081521521542
2,42,12.262311192464097,53,64,0.025571415215216442
4,43,12.262311192464097,54,66,-0.03125523162974697
1,44,20.36513923355254,54,66,-0.07446663786859636
2,45,12.818285853578605,54,67,-0.02125453368634217
4,46,12.818285853578605,55,69,-0.04111830871761468
4,47,12.818285853578605,56,71,-0.0817676419386234
2,48,12.818285853578605,57,73,-0.049545010486773844
2,49,12.818285853578605,58,75,-0.07612691082326545
5,50,12.818285853578605,59,77,-0.11693879271862212
5,51,12.818285853578605,60,79,-0.08240379810316828
1,2,95.1679728676133,2,1,0.45072812356958014
0,3,95.1679728676133,3,3,-0.10536655936463485
0,4,95.1679728676133,4,5,-0.1535805945962277
4,5,71.71629945326836,8,7,0.24051801106362047
1,6,86.8248630609101,9,7,0.2173145923190809
1,7,99.6087768773473,9,7,0.17973071578639532
4,8,80.81683353144402,13,11,-0.09801716762254209
4,9,59.11323670308981,14,13,0.0909824907313389
5,10,21.684087155774108,16,17,0.05761926191952338
